Image,Ground Truth Season,a photo of spring,a photo of summer,a photo of autumn,a photo of winter,blooming flowers,dense green trees,colorful leaves,bare trees,a colorful wildflowers,sunlit wheat fields,yellow leaves,icy rivers,green grass and fresh buds on trees,dense green trees in summer,brown leaves in fall,cold weather with bare trees
/mnt/lake/VBags/140106/frame0076.jpg,Winter,0.3672,0.04456,0.01042,0.5776,0.0002127,0.00225,9.66e-06,0.9976,0.0001574,0.000333,0.0293,0.97,0.007935,0.0002358,0.000427,0.991
/mnt/lake/VBags/140106/frame0156.jpg,Winter,0.5605,0.07947,0.003777,0.3562,0.002546,0.001892,1.02e-05,0.9956,0.0008974,0.001469,0.02092,0.9766,0.0097,0.0001618,0.00066,0.9893
/mnt/lake/VBags/140106/frame0273.jpg,Winter,0.3552,0.02826,0.002628,0.614,0.002245,0.003265,2.086e-05,0.9946,8.726e-05,0.000968,0.001499,0.9976,0.0248,0.0001078,0.000271,0.9746
/mnt/lake/VBags/140106/frame0079.jpg,Winter,0.4583,0.0348,0.003445,0.5034,0.0003295,0.001781,9.2e-06,0.998,0.0001764,0.0004795,0.0169,0.9824,0.007694,0.0001031,0.0001547,0.992
/mnt/lake/VBags/140106/frame0155.jpg,Winter,0.6743,0.04114,0.00365,0.281,0.001063,0.00115,1.013e-05,0.9976,0.0003467,0.0001975,0.013214,0.9863,0.00818,8.02e-05,0.000651,0.991
/mnt/lake/VBags/140106/frame0141.jpg,Winter,0.6587,0.07745,0.0057,0.258,0.000743,0.000743,1.043e-05,0.9985,0.000689,0.001019,0.02795,0.97,0.00781,8.67e-05,0.000918,0.991
/mnt/lake/VBags/140106/frame0154.jpg,Winter,0.4126,0.02187,0.001713,0.564,0.001361,0.004128,9.3e-06,0.9946,0.000129,8.26e-05,0.00259,0.997,0.00806,0.0002713,0.0003948,0.991
/mnt/lake/VBags/140106/frame0084.jpg,Winter,0.5864,0.0858,0.004013,0.3237,0.001389,0.0002608,9.66e-06,0.9985,9.674e-05,8.74e-05,0.009125,0.9907,0.01032,1.81e-05,0.0002282,0.9893
/mnt/lake/VBags/140106/frame0113.jpg,Winter,0.536,0.0835,0.006145,0.3743,0.001032,0.01588,1.997e-05,0.983,0.000252,0.0004935,0.0197,0.9795,0.03482,0.005016,0.004223,0.956
/mnt/lake/VBags/140117/frame0055.jpg,Winter,0.2969,0.092,0.01151,0.5996,0.0891,0.00896,0.002129,0.9,0.0004728,0.002636,0.05093,0.946,0.0642,0.0005646,0.0485,0.8867
/mnt/lake/VBags/140117/frame0061.jpg,Winter,0.3115,0.0674,0.01083,0.6104,0.00232,0.0014515,0.0001965,0.996,0.0003412,0.001219,0.1686,0.83,0.005955,0.0001316,0.00789,0.986
/mnt/lake/VBags/140117/frame0035.jpg,Winter,0.3625,0.1214,0.005013,0.511,0.003218,0.001406,5.12e-05,0.995,0.0001562,0.012115,0.00989,0.978,0.003822,0.0001085,0.0002369,0.9956
/mnt/lake/VBags/140117/frame0000.jpg,Winter,0.383,0.1622,0.013954,0.441,0.02054,0.004803,0.0005918,0.974,0.0003839,0.002157,0.02629,0.971,0.01996,0.00075,0.04715,0.932
/mnt/lake/VBags/140117/frame0086.jpg,Winter,0.4854,0.04047,0.003763,0.4705,0.005634,0.01682,0.0001675,0.9775,0.0002694,7.194e-05,0.03845,0.9614,0.1632,0.001033,0.00695,0.8286
/mnt/lake/VBags/140117/frame0058.jpg,Winter,0.4363,0.125,0.00934,0.4294,0.01765,0.002928,0.0003781,0.979,0.0003996,0.003294,0.00881,0.9873,0.0332,0.0001826,0.01112,0.9556
/mnt/lake/VBags/140117/frame0243.jpg,Winter,0.4583,0.11053,0.00764,0.4236,0.14,0.04074,0.001094,0.8184,0.001155,0.003212,0.03244,0.9634,0.2803,0.005135,0.09247,0.622
/mnt/lake/VBags/140117/frame0183.jpg,Winter,0.4207,0.1648,0.006695,0.4077,0.05365,0.00903,0.001282,0.936,0.001185,0.00579,0.01929,0.9736,0.11664,0.0003626,0.0345,0.8486
/mnt/lake/VBags/140117/frame0073.jpg,Winter,0.522,0.05414,0.01758,0.4065,0.02397,0.002775,0.000591,0.9727,0.000861,0.001881,0.4675,0.53,0.07806,0.00012106,0.01444,0.907
/mnt/lake/VBags/140117/frame0333.jpg,Winter,0.439,0.1339,0.00817,0.419,0.002079,0.002047,0.00010186,0.9956,0.00017,0.0001501,0.01495,0.985,0.006535,0.0003104,0.02353,0.9697
/mnt/lake/VBags/140117/frame0018.jpg,Winter,0.5415,0.1083,0.006207,0.3442,0.001405,0.00394,2.533e-05,0.9946,0.000618,0.012024,0.01695,0.97,0.03305,0.0002371,0.000391,0.9663
/mnt/lake/VBags/140117/frame0318.jpg,Winter,0.724,0.2208,0.002867,0.05243,0.0004408,0.007812,3.73e-05,0.9917,0.0002248,0.001927,0.01492,0.983,0.0166,0.002247,0.0008802,0.9805
/mnt/lake/VBags/140117/frame0369.jpg,Winter,0.7256,0.0675,0.00224,0.2047,0.001014,0.002394,3.576e-05,0.9966,0.0004814,0.0008717,0.01241,0.9863,0.01999,0.0002291,0.00159,0.978
/mnt/lake/VBags/140117/frame0360.jpg,Winter,0.7725,0.12225,0.00231,0.1029,0.0008545,0.001726,2.04e-05,0.9976,0.000459,0.000722,0.01362,0.9854,0.00793,0.0003428,0.001235,0.9907
/mnt/lake/VBags/140117/frame0266.jpg,Winter,0.508,0.1782,0.02031,0.2937,0.0049,0.0005007,0.0001842,0.9946,0.003206,0.00393,0.1835,0.8096,0.008545,5.85e-05,0.003563,0.988
/mnt/lake/VBags/140117/frame0336.jpg,Winter,0.6025,0.1986,0.01231,0.1866,0.00326,0.003637,0.0003383,0.9927,0.0007815,0.0015545,0.04135,0.956,0.005116,0.0005145,0.0193,0.975
/mnt/lake/VBags/140117/frame0372.jpg,Winter,0.7524,0.1034,0.00726,0.137,0.0009227,0.003073,0.0001085,0.996,0.0008116,0.0007625,0.03616,0.9624,0.00967,0.0004964,0.00403,0.986
/mnt/lake/VBags/140117/frame0316.jpg,Winter,0.6616,0.08026,0.007233,0.251,0.0010605,0.00382,5.364e-05,0.995,0.0007076,0.001486,0.0837,0.914,0.01817,0.000566,0.004593,0.9766
/mnt/lake/VBags/140117/frame0368.jpg,Winter,0.7065,0.10834,0.003708,0.1814,0.001921,0.003267,7.93e-05,0.9946,0.0004091,0.0007353,0.0414,0.9575,0.01358,0.000606,0.003654,0.982
/mnt/lake/VBags/140117/frame0315.jpg,Winter,0.7417,0.07117,0.00811,0.179,0.002144,0.002392,0.0002056,0.995,0.002989,0.00229,0.3025,0.6924,0.01865,0.00059,0.03946,0.9414
/mnt/lake/VBags/140117/frame0334.jpg,Winter,0.6763,0.1311,0.00516,0.1877,0.003998,0.00262,0.0001065,0.993,0.000388,0.0001951,0.01016,0.9893,0.0179,0.0004275,0.01996,0.962
/mnt/lake/VBags/140117/frame0364.jpg,Winter,0.622,0.2218,0.003698,0.1525,0.00888,0.0265,0.000442,0.9644,9.507e-05,8.07e-05,0.003027,0.9966,0.03668,0.004887,0.04156,0.917
/mnt/lake/VBags/140117/frame0280.jpg,Winter,0.518,0.1997,0.00919,0.273,0.0599,0.002115,0.000676,0.9375,0.000658,0.02063,0.01533,0.9634,0.02924,0.0002233,0.0172,0.953
/mnt/lake/VBags/140117/frame0291.jpg,Winter,0.594,0.1959,0.0044,0.2053,0.002884,0.001804,0.0001267,0.995,0.0001318,0.000624,0.003374,0.996,0.01163,0.000291,0.004772,0.9834
/mnt/lake/VBags/140117/frame0215.jpg,Winter,0.6562,0.1442,0.01183,0.188,0.00665,0.00625,0.0002311,0.987,0.00039,0.0009503,0.004257,0.9946,0.01434,0.000703,0.02557,0.9595
/mnt/lake/VBags/140117/frame0335.jpg,Winter,0.629,0.1128,0.00792,0.2502,0.003218,0.001147,0.0001414,0.9956,0.000631,0.0005746,0.007805,0.991,0.00687,7.516e-05,0.004795,0.9883
/mnt/lake/VBags/140117/frame0226.jpg,Winter,0.4639,0.3967,0.010735,0.1288,0.264,0.00423,0.003563,0.7285,0.001036,0.001288,0.00353,0.994,0.0775,0.0003374,0.03467,0.887
/mnt/lake/VBags/140117/frame0343.jpg,Winter,0.6406,0.1301,0.01483,0.2146,0.005173,0.02393,0.0003688,0.9707,0.0005927,0.0002414,0.05334,0.946,0.02484,0.004055,0.0952,0.876
/mnt/lake/VBags/140117/frame0277.jpg,Winter,0.576,0.2257,0.008095,0.1901,0.0718,0.010506,0.000904,0.917,0.000608,0.000177,0.02885,0.97,0.02713,0.0010195,0.1913,0.781
/mnt/lake/VBags/140117/frame0005.jpg,Winter,0.4094,0.2333,0.0231,0.3342,0.00985,0.0006704,0.0001951,0.9893,8.32e-05,0.0003817,0.011154,0.9883,0.005203,2.074e-05,0.003466,0.991
/mnt/lake/VBags/140117/frame0003.jpg,Winter,0.3586,0.189,0.01991,0.4326,0.014915,0.002361,0.0002587,0.9824,0.005974,0.015495,0.1059,0.8726,0.1328,6.74e-05,0.000742,0.866
/mnt/lake/VBags/140117/frame0087.jpg,Winter,0.8325,0.03714,0.002909,0.1277,0.003149,0.00721,6.14e-05,0.9897,0.000784,0.0003319,0.1191,0.88,0.143,0.001163,0.0069,0.849
/mnt/lake/VBags/140117/frame0059.jpg,Winter,0.4324,0.1043,0.02438,0.439,0.00438,0.00418,0.0003028,0.991,0.001018,0.003014,0.253,0.743,0.03436,0.0004752,0.036,0.929
/mnt/lake/VBags/140117/frame0012.jpg,Winter,0.4626,0.199,0.004906,0.3333,0.00332,0.000998,4.965e-05,0.9956,0.000298,0.009125,0.01482,0.9756,0.02635,5.084e-05,9.805e-05,0.9736
/mnt/lake/VBags/140117/frame0020.jpg,Winter,0.6396,0.09216,0.005367,0.2627,0.0008965,0.0007787,1.72e-05,0.9985,0.0002606,0.01729,0.02364,0.959,0.02556,0.0001165,0.0001695,0.974
/mnt/lake/VBags/140117/frame0275.jpg,Winter,0.604,0.0598,0.01273,0.3232,0.00505,0.001639,0.0002185,0.993,0.002048,0.004543,0.3499,0.6436,0.02002,0.0001436,0.014885,0.965
/mnt/lake/VBags/140117/frame0116.jpg,Winter,0.7446,0.161,0.004223,0.09033,0.002249,0.001619,3.69e-05,0.996,0.00531,0.003325,0.1653,0.826,0.02472,0.000321,0.002998,0.972
/mnt/lake/VBags/140117/frame0050.jpg,Winter,0.504,0.1444,0.02113,0.3306,0.001982,0.002884,7e-05,0.995,0.0017,0.00963,0.1483,0.8403,0.05157,0.0009155,0.004436,0.943
/mnt/lake/VBags/140117/frame0131.jpg,Winter,0.694,0.1081,0.00808,0.1897,0.01296,0.003893,0.0003593,0.983,0.004208,0.001647,0.0643,0.9297,0.02641,0.0004544,0.012474,0.9604
/mnt/lake/VBags/140117/frame0251.jpg,Winter,0.3147,0.5186,0.0134,0.1533,0.02928,0.000898,0.0004048,0.969,0.01217,0.009476,0.07007,0.908,0.07245,0.0001324,0.03069,0.8965
/mnt/lake/VBags/140122/frame0300.jpg,Winter,0.05133,0.05054,0.002256,0.896,0.002321,0.0006347,0.0002193,0.9966,4.5e-06,4.1e-05,0.000656,0.9995,0.001064,9.4e-06,0.0006065,0.9985
/mnt/lake/VBags/140122/frame0220.jpg,Winter,0.1962,0.0956,0.002014,0.706,0.3057,0.001965,0.003643,0.689,0.0401,0.00854,0.00945,0.942,0.1532,4.065e-05,0.00516,0.8413
/mnt/lake/VBags/140122/frame0279.jpg,Winter,0.2439,0.02452,0.003479,0.728,0.002354,0.002504,0.0001002,0.995,0.0002095,2.027e-05,0.01001,0.9897,0.003834,0.0001464,0.01297,0.983
/mnt/lake/VBags/140122/frame0281.jpg,Winter,0.2421,0.04205,0.0045,0.7114,0.003187,0.01078,0.00010735,0.986,7.117e-05,1.305e-05,0.003483,0.9966,0.005383,0.000865,0.01486,0.979
/mnt/lake/VBags/140122/frame0297.jpg,Winter,0.1348,0.1246,0.01234,0.7285,0.001282,0.001452,0.0002409,0.997,0.0002928,0.001071,0.01,0.989,0.001984,8.184e-05,0.002317,0.9956
/mnt/lake/VBags/140122/frame0303.jpg,Winter,0.1342,0.0937,0.01209,0.7603,0.000676,0.001673,0.0001485,0.9976,8.774e-05,0.000262,0.02002,0.9795,0.001453,7.015e-05,0.0010805,0.9976
/mnt/lake/VBags/140122/frame0312.jpg,Winter,0.2805,0.02267,0.002352,0.6943,0.00342,0.002707,4.584e-05,0.9937,0.0007925,0.001412,0.04327,0.9546,0.05334,0.0001167,0.000773,0.946
/mnt/lake/VBags/140122/frame0298.jpg,Winter,0.0983,0.1925,0.004745,0.7046,0.0008416,0.001244,0.0001193,0.9976,6.24e-05,0.0005784,0.001345,0.998,0.001032,5.645e-05,0.0003917,0.9985
/mnt/lake/VBags/140122/frame0204.jpg,Winter,0.271,0.07764,0.01136,0.64,0.06647,0.000905,0.0003715,0.932,0.001352,0.0004675,0.009995,0.9883,0.0378,5.34e-05,0.002455,0.9595
/mnt/lake/VBags/140122/frame0307.jpg,Winter,0.1533,0.037,0.006733,0.803,0.0002778,0.001187,2.974e-05,0.9985,5.55e-05,0.0003245,0.00926,0.99,0.001754,4.125e-05,0.0001533,0.998
/mnt/lake/VBags/140122/frame0282.jpg,Winter,0.5273,0.03069,0.00509,0.437,0.0009527,0.00218,6.187e-05,0.9966,0.001389,9.75e-05,0.03784,0.9604,0.00646,0.000195,0.00465,0.989
/mnt/lake/VBags/140122/frame0285.jpg,Winter,0.4375,0.0822,0.00741,0.473,0.001492,0.00658,5.263e-05,0.9917,0.003551,0.0013485,0.02544,0.9697,0.003933,0.0006123,0.002876,0.9927
/mnt/lake/VBags/140122/frame0306.jpg,Winter,0.132,0.09955,0.00941,0.7593,0.0003004,0.0004373,3.29e-05,0.999,3.58e-05,0.0004606,0.002888,0.9966,0.000732,1.42e-05,6.807e-05,0.999
/mnt/lake/VBags/140122/frame0290.jpg,Winter,0.5293,0.05847,0.00646,0.4058,0.001641,0.0351,5.275e-05,0.9634,0.001684,0.000596,0.06174,0.936,0.03036,0.00553,0.03387,0.93
/mnt/lake/VBags/140122/frame0305.jpg,Winter,0.145,0.0966,0.0219,0.7363,0.0002651,0.000636,6.6e-05,0.999,3.42e-05,0.0002954,0.009705,0.9897,0.001064,2.16e-05,0.000188,0.9985
/mnt/lake/VBags/140122/frame0258.jpg,Winter,0.438,0.1008,0.00952,0.452,0.001297,0.005997,5.97e-05,0.9927,0.000283,7.1e-05,0.0875,0.912,0.007378,0.000841,0.010086,0.982
/mnt/lake/VBags/140122/frame0091.jpg,Winter,0.6157,0.04324,0.01128,0.3296,0.001026,0.00555,7.32e-05,0.993,0.000568,0.0002704,0.1207,0.8784,0.0257,0.0008006,0.00945,0.964
/mnt/lake/VBags/140122/frame0294.jpg,Winter,0.57,0.086,0.004025,0.3403,0.009094,0.003143,5.04e-05,0.988,0.002419,0.005077,0.01704,0.9756,0.01322,0.0001638,9.26e-05,0.9863
/mnt/lake/VBags/140122/frame0264.jpg,Winter,0.6177,0.08624,0.00457,0.2917,0.001832,0.0037,6.17e-05,0.9946,0.0005736,0.0001606,0.11914,0.8804,0.01578,0.0007377,0.007687,0.9756
/mnt/lake/VBags/140122/frame0141.jpg,Winter,0.5674,0.04514,0.00976,0.378,0.003357,0.005623,4.57e-05,0.991,0.00719,0.015465,0.04993,0.9272,0.1702,0.0003388,0.00498,0.8247
/mnt/lake/VBags/140122/frame0302.jpg,Winter,0.10175,0.105,0.005394,0.788,0.000234,0.0006876,5.734e-05,0.999,2.99e-05,0.0003614,0.003222,0.9966,0.0004802,2.664e-05,0.0001442,0.9995
/mnt/lake/VBags/140122/frame0301.jpg,Winter,0.1417,0.2062,0.00684,0.645,0.0002692,0.0007915,6.396e-05,0.999,2.56e-05,0.0005603,0.002321,0.997,0.0005975,3.046e-05,0.0001441,0.999
/mnt/lake/VBags/140122/frame0299.jpg,Winter,0.08997,0.2603,0.005238,0.6445,0.0004652,0.0009108,8.47e-05,0.9985,2.16e-05,0.0002162,0.001099,0.9985,0.0004728,3.24e-05,0.0001823,0.9995
/mnt/lake/VBags/140122/frame0259.jpg,Winter,0.635,0.1935,0.003716,0.1681,0.1333,0.02246,0.001338,0.843,0.001326,0.0001837,0.00684,0.9917,0.2263,0.00285,0.0846,0.686
/mnt/lake/VBags/140122/frame0077.jpg,Winter,0.336,0.04993,0.00615,0.608,0.003633,0.00445,5.69e-05,0.9917,0.00010973,2.193e-05,0.007935,0.9917,0.00562,0.0003884,0.003685,0.99
/mnt/lake/VBags/140122/frame0181.jpg,Winter,0.54,0.1753,0.0046,0.28,0.0988,0.04596,0.001622,0.8535,0.0002587,1.54e-05,0.01001,0.9897,0.3606,0.003023,0.0325,0.604
/mnt/lake/VBags/140122/frame0288.jpg,Winter,0.54,0.0828,0.006092,0.371,0.002956,0.00803,0.0001668,0.989,0.000254,2.086e-05,0.01243,0.9873,0.010414,0.000999,0.02104,0.968
/mnt/lake/VBags/140122/frame0283.jpg,Winter,0.601,0.0801,0.006783,0.312,0.002428,0.0174,0.0002856,0.98,0.001292,0.0001352,0.03958,0.959,0.0304,0.002169,0.0509,0.9165
/mnt/lake/VBags/140122/frame0304.jpg,Winter,0.2369,0.07117,0.006313,0.6855,0.000487,0.0015,7.707e-05,0.998,5.525e-05,0.0002218,0.006794,0.993,0.001597,5.64e-05,0.0001311,0.998
/mnt/lake/VBags/140122/frame0286.jpg,Winter,0.484,0.0754,0.007122,0.4336,0.00916,0.0265,0.0002441,0.964,0.0005326,0.0001637,0.04398,0.955,0.02913,0.006706,0.04373,0.9204
/mnt/lake/VBags/140122/frame0051.jpg,Winter,0.2598,0.09265,0.004684,0.643,0.0002034,0.0004954,6.3e-06,0.9995,0.0001844,0.001984,0.01767,0.98,0.0006666,1.186e-05,1.92e-05,0.9995
/mnt/lake/VBags/140122/frame0308.jpg,Winter,0.363,0.03888,0.00854,0.5894,0.001165,0.003218,7e-05,0.9956,0.0003169,0.000499,0.06183,0.9375,0.013214,0.0001423,0.0004592,0.9863
/mnt/lake/VBags/140122/frame0296.jpg,Winter,0.3135,0.0668,0.005924,0.614,0.0006757,0.002285,9.584e-05,0.997,9.11e-05,0.0002553,0.02194,0.9775,0.004196,8.99e-05,0.0002682,0.9956
/mnt/lake/VBags/140122/frame0063.jpg,Winter,0.6553,0.05298,0.005325,0.2864,0.001146,0.02,1.97e-05,0.979,0.001216,0.00825,0.03754,0.953,0.05795,0.004833,0.001644,0.9355
/mnt/lake/VBags/140122/frame0263.jpg,Winter,0.62,0.04285,0.005447,0.3318,0.006767,0.00465,6.68e-05,0.9883,0.00189,0.001997,0.369,0.6274,0.04288,0.0004406,0.01067,0.946
/mnt/lake/VBags/140122/frame0315.jpg,Winter,0.4712,0.05206,0.0054,0.4712,0.0006347,0.002432,1.043e-05,0.997,0.0005493,0.005463,0.04645,0.9478,0.02367,0.0003376,0.0008483,0.975
/mnt/lake/VBags/140122/frame0061.jpg,Winter,0.6973,0.0712,0.00851,0.2229,0.001354,0.009254,4.494e-05,0.9893,0.001002,0.000787,0.1686,0.8296,0.0416,0.002743,0.00928,0.9463
/mnt/lake/VBags/140122/frame0260.jpg,Winter,0.563,0.0716,0.007545,0.358,0.002787,0.005207,4.23e-05,0.992,0.0002441,6.175e-05,0.05032,0.949,0.007397,0.001152,0.00763,0.984
/mnt/lake/VBags/140122/frame0273.jpg,Winter,0.4956,0.0692,0.004784,0.4304,0.001366,0.001263,1.95e-05,0.9976,0.0002338,9.98e-05,0.0396,0.96,0.00961,0.0002482,0.00992,0.9805
/mnt/lake/VBags/140122/frame0180.jpg,Winter,0.7,0.0863,0.006252,0.207,0.00405,0.01964,0.000115,0.976,0.000605,0.0002522,0.0705,0.9287,0.11554,0.002398,0.014694,0.867
/mnt/lake/VBags/140129/frame0077.jpg,Winter,0.11646,0.0729,0.002132,0.8086,0.0008163,0.0004652,0.00010544,0.9985,0.0007453,0.0008445,0.0725,0.926,0.0006876,3.3e-06,0.0002002,0.999
/mnt/lake/VBags/140129/frame0365.jpg,Winter,0.1279,0.1061,0.00647,0.76,0.00636,0.004723,0.000124,0.989,1.18e-05,3.42e-05,0.001987,0.998,0.000717,0.0002723,0.004604,0.9946
/mnt/lake/VBags/140129/frame0076.jpg,Winter,0.12335,0.0703,0.002026,0.804,0.0006876,0.0005436,3.82e-05,0.9985,0.000437,0.001245,0.06744,0.9307,0.000511,3.8e-06,8.214e-05,0.9995
/mnt/lake/VBags/140129/frame0016.jpg,Winter,0.1339,0.11816,0.001312,0.7466,0.01097,0.001053,0.0003314,0.988,0.0007915,0.002596,0.03555,0.961,0.002548,1.246e-05,0.0008144,0.9966
